semantic_sim,normalized_y,is_max,text_length,has_currency,label
0.0,0.41410256410256413,0.0,0,0.0,0
0.0,0.41367521367521365,0.0,0,0.0,0
0.0,0.41367521367521365,0.0,0,0.0,0
0.2853403091430664,0.47649572649572647,0.0,19,0.0,0
0.0,0.4756410256410256,0.0,0,0.0,0
0.0,0.47435897435897434,0.0,0,0.0,0
0.0,0.4752136752136752,0.0,0,0.0,0
0.0,0.47435897435897434,0.0,0,0.0,0
0.0,0.5196581196581197,0.0,0,0.0,0
0.0,0.5192307692307693,0.0,0,0.0,0
0.0,0.517948717948718,0.0,0,0.0,0
0.0,0.517948717948718,0.0,0,0.0,0
0.0,0.517948717948718,0.0,0,0.0,0
0.262645959854126,0.5641025641025641,0.0,9,0.0,0
0.0,0.5628205128205128,0.0,0,0.0,0
0.0,0.5623931623931624,0.0,0,0.0,0
0.0,0.561965811965812,0.0,0,0.0,0
0.0,0.561965811965812,0.0,0,0.0,0
0.0,0.6076923076923076,0.0,0,0.0,0
0.0,0.6068376068376068,0.0,0,0.0,0
0.0,0.6064102564102564,0.0,0,0.0,0
0.0,0.6064102564102564,0.0,0,0.0,0
0.0,0.6055555555555555,0.0,0,0.0,0
0.0,0.6512820512820513,0.0,0,0.0,0
0.0,0.6504273504273504,0.0,0,0.0,0
0.0,0.6491452991452992,0.0,0,0.0,0
0.0,0.6491452991452992,0.0,0,0.0,0
0.0,0.6491452991452992,0.0,0,0.0,0
0.0,0.694017094017094,0.0,12,0.0,0
0.0,0.6927350427350427,0.0,0,0.0,0
0.0,0.6927350427350427,0.0,0,0.0,0
0.0,0.6918803418803419,0.0,0,0.0,0
0.0,0.7384615384615385,0.0,0,0.0,0
0.0,0.7371794871794872,0.0,0,0.0,0
0.0,0.7367521367521368,0.0,0,0.0,0
0.0,0.7367521367521368,0.0,0,0.0,0
0.0,0.735897435897436,0.0,0,0.0,0
0.37204521894454956,0.7786324786324786,0.0,9,0.0,0
0.0,0.7777777777777778,0.0,0,0.0,0
0.4906553030014038,0.8111111111111111,0.0,11,0.0,1
0.27939316630363464,0.8371794871794872,0.0,8,0.0,0
0.0,0.8534188034188034,0.0,0,0.0,0
0.5795110464096069,0.8623931623931624,0.0,6,0.0,0
0.2813606560230255,0.888034188034188,0.0,9,0.0,0
0.5259435772895813,0.9145299145299145,0.0,12,0.0,1
0.48005086183547974,0.9401709401709402,0.0,5,0.0,1
0.0,0.9598290598290599,0.0,7,0.0,0
0.0,0.17001254705144292,0.0,31,0.0,0
0.0,0.19761606022584693,0.0,19,0.0,0
0.0,0.2258469259723965,0.0,14,0.0,0
0.0,0.25282308657465496,0.0,20,0.0,0
